Date,Open,High,Low,Close,Volume
2016-08-04,122298.97,122760.47,119529.93,120452.95,552854
2016-08-05,120452.93,122760.46,120452.93,122760.46,432472
2016-08-08,123683.47,123683.47,121837.45,122760.46,367241
2016-08-09,124606.5,126452.52,124144.99,125991.02,590729
2016-08-10,125068.02,126452.53,123683.5,123683.5,495316
2016-08-11,123683.49,124606.5,123221.98,124144.99,340296
2016-08-12,124606.5,125529.51,124144.99,125529.51,441448
2016-08-16,125529.49,126452.5,122760.46,122760.46,564040
2016-08-17,123221.98,124606.5,122760.48,124606.5,456621
2016-08-18,124144.98,124606.49,121837.46,122298.96,501557
2016-08-19,122760.47,123683.48,121837.46,122298.96,375138
2016-08-22,122298.97,122760.47,120914.45,121837.46,400250
2016-08-23,122760.47,124144.98,121837.46,122298.96,421660
2016-08-24,121837.46,125068.0,121375.96,125068.0,725511
2016-08-25,125529.51,127375.53,123683.49,125991.02,880226
2016-08-26,125991.01,126452.52,124606.49,125068.0,426273
2016-08-29,123683.5,124145.01,122760.49,123683.5,328229
2016-08-30,123221.97,124606.49,122298.96,122298.96,331306
2016-08-31,121837.45,123221.97,120914.44,122760.46,621524
2016-09-01,122760.48,123221.98,121375.96,121375.96,572941
2016-09-02,122298.97,125991.02,121837.47,124606.5,1129376
2016-09-05,125529.51,128298.55,125529.51,128298.55,681920
2016-09-06,127837.04,129221.55,127375.53,128760.05,455216
2016-09-07,128760.05,129683.06,127375.54,128298.55,515978
2016-09-08,128298.55,129221.56,125991.02,128298.55,604332
2016-09-09,127375.53,129221.55,126914.02,128760.05,430914
2016-09-12,127837.02,128760.03,126914.01,127837.02,447847
2016-09-13,129221.54,129683.05,127375.52,127837.02,560421
2016-09-19,126452.51,128760.04,125529.5,126452.51,536712
2016-09-20,126452.51,128760.03,125991.0,127837.02,517081
2016-09-21,126914.02,127837.03,125991.01,127375.52,464658
2016-09-22,127375.52,128760.04,126914.02,127375.52,360424
2016-09-23,128760.05,131067.58,128298.54,131067.58,595938
2016-09-26,129683.05,130606.06,128298.53,129683.05,444564
2016-09-27,129221.55,131067.58,127837.04,130606.07,451975
2016-09-28,130144.55,130606.06,127375.52,127837.02,513300
2016-09-29,127837.04,128760.05,127375.53,128760.05,473726
2016-09-30,127837.03,128760.04,124606.49,125068.0,617732
2016-10-04,127837.04,130144.57,126914.03,128298.55,707562
2016-10-05,126914.02,129683.05,125991.01,129221.55,549606
2016-10-06,128298.55,129221.56,127837.04,128298.55,271808
2016-10-07,127837.04,128298.54,125068.0,125991.02,449894
2016-10-10,123683.49,124606.5,120914.46,123221.98,687120
2016-10-11,124606.5,125068.0,123221.98,124144.99,355273
2016-10-12,124144.99,126452.52,123221.98,125991.02,418529
2016-10-13,125991.03,126452.53,123221.99,123683.5,444173
2016-10-14,123221.97,124606.48,122760.46,122760.46,385561
2016-10-17,124144.98,125991.0,122760.46,122760.46,552827
2016-10-18,123221.98,125068.0,122298.97,124144.99,357363
2016-10-19,124144.98,125067.99,122298.96,122760.46,474445
2016-10-20,123221.98,123683.48,121375.96,121837.46,411425
2016-10-21,122298.97,124606.5,121837.47,123221.98,375157
2016-10-24,124144.99,124144.99,123221.98,124144.99,256889
2016-10-25,124606.49,128760.04,124144.98,127375.52,863431
2016-10-26,126914.02,127837.03,124606.5,126914.02,551856
2016-10-27,128298.53,128760.04,125068.0,127375.52,503571
2016-10-28,127375.52,130606.06,126914.01,129683.05,708752
2016-10-31,128298.54,130144.56,128298.54,129221.55,394472
2016-11-01,130144.56,130606.07,129221.55,130606.07,436941
2016-11-02,130144.56,130606.07,128760.05,128760.05,655976
2016-11-03,128760.05,129221.55,125529.51,125991.02,520972
2016-11-04,125991.01,126452.52,125068.0,125529.51,345493
2016-11-07,126914.01,127375.52,125529.5,126452.51,388228
2016-11-08,126914.01,128760.03,126452.51,127837.02,341446
2016-11-09,127375.54,129221.57,120452.96,123683.5,1054746
2016-11-10,124606.5,124606.5,119068.44,119068.44,1253550
2016-11-11,119991.44,121837.47,119991.44,121375.96,571291
2016-11-14,121837.46,123683.48,120914.45,121837.46,369913
2016-11-15,121375.96,121837.46,119529.93,120452.95,416685
2016-11-16,120452.95,123221.98,119991.44,120914.45,379475
2016-11-17,120914.45,122760.47,120914.45,121837.46,217101
2016-11-18,121375.96,121837.47,119529.94,119529.94,282286
2016-11-21,119991.45,123221.98,119529.94,123221.98,392922
2016-11-22,123221.98,124145.0,122298.97,123221.98,366844
2016-11-23,124145.01,124606.51,122298.98,123683.5,292727
2016-11-24,123221.98,125529.51,122760.48,124606.5,340767
2016-11-25,125068.0,125529.51,124144.99,125529.51,180033
2016-11-28,124606.5,125529.51,123221.98,124606.5,256341
2016-11-29,122760.48,125068.0,122760.48,124144.99,312216
2016-11-30,123221.97,124144.98,122298.96,122760.46,1188767
2016-12-01,122760.47,125068.0,121837.46,121837.46,478362
2016-12-02,123683.49,125529.51,122760.48,123221.98,403575
2016-12-05,124145.01,125068.02,122760.49,123683.5,244209
2016-12-06,125068.0,126452.52,124606.5,125991.02,374760
2016-12-07,127375.53,127375.53,125991.02,125991.02,279131
2016-12-08,127837.04,131067.58,127375.53,131067.58,889649
2016-12-09,131067.57,133836.6,130144.56,132913.59,647418
2016-12-12,134759.63,136605.65,132452.1,133375.11,378077
2016-12-13,133375.1,133836.61,131529.08,133836.61,283933
2016-12-14,133375.12,133836.63,131067.59,132452.11,261384
2016-12-15,131067.58,131990.59,130144.57,131067.58,285737
2016-12-16,130144.56,131067.57,128298.54,128760.05,523767
2016-12-19,129221.56,131529.08,128760.05,131067.58,293868
2016-12-20,130606.09,132913.61,130606.09,132452.11,399511
2016-12-21,133375.12,133375.12,131529.1,132452.11,310188
2016-12-22,131990.59,131990.59,130144.57,131067.58,334338
2016-12-23,131990.58,132913.59,131067.57,132913.59,357914
2016-12-26,132452.1,133836.61,132452.1,133375.11,206099
2016-12-27,133375.11,133836.61,132913.6,133375.11,337224
2016-12-28,134317.69,135731.56,133375.11,135260.27,377265
2016-12-29,134317.69,137616.72,133846.4,137616.72,381283
2017-01-02,137616.71,141858.32,137145.42,141387.03,545854
2017-01-03,142329.62,145157.36,141387.04,144214.78,723246
2017-01-04,143743.49,146099.94,143272.2,145157.36,601826
2017-01-05,145157.35,145628.64,143272.19,144686.06,391604
2017-01-06,143272.19,144214.77,140915.74,142329.61,366091
2017-01-09,142329.62,142800.91,140915.75,141858.33,325146
2017-01-10,141858.32,144214.77,141858.32,143272.19,411333
2017-01-11,141858.33,141858.33,139030.59,139973.17,675973
2017-01-12,139501.88,142329.62,139030.58,139501.88,433867
2017-01-13,140444.45,141387.03,139973.16,140444.45,293211
2017-01-16,139973.17,142329.62,139973.17,141858.33,316413
2017-01-17,141387.03,145157.35,140915.74,144686.06,487662
2017-01-18,144214.78,146571.23,142329.62,145157.36,395088
2017-01-19,144214.77,144686.06,142329.61,143272.19,255111
2017-01-20,141858.33,144686.07,141387.04,144214.78,310228
2017-01-23,142800.9,143272.19,139973.16,140444.45,424036
2017-01-24,140915.74,140915.74,137145.42,138088.0,518186
2017-01-25,138088.0,139030.58,133375.1,133846.39,749465
2017-01-26,135260.27,135260.27,131489.95,134317.69,632413
2017-01-31,133375.1,134317.68,131018.65,131489.94,574213
2017-02-01,131961.23,132903.81,131018.65,131489.94,446549
2017-02-02,131961.23,131961.23,127719.62,128190.91,610731
2017-02-03,128662.19,131018.64,128190.9,129604.77,453051
2017-02-06,131018.65,131489.94,128190.91,128662.2,293891
2017-02-07,130076.08,131961.24,129604.79,131018.66,395508
2017-02-08,130547.37,131489.95,129133.5,131018.66,415346
2017-02-09,131489.94,132903.81,129604.78,131961.23,513611
2017-02-10,132903.81,133375.1,131018.65,132903.81,330000
2017-02-13,133375.1,133375.1,131018.65,131489.94,320997
2017-02-14,131961.23,132432.52,131489.94,131961.23,295126
2017-02-15,133375.1,138088.0,133375.1,137145.42,682399
2017-02-16,138088.01,142800.91,138088.01,141858.33,991329
2017-02-17,140915.75,142329.62,139501.88,141858.33,484244
2017-02-20,140915.74,142329.61,140915.74,141387.03,239916
2017-02-21,141387.03,142800.9,140444.45,142329.61,324845
2017-02-22,141387.04,142329.62,138559.3,140915.75,423978
2017-02-23,141858.33,141858.33,136674.14,137616.72,790326
2017-02-24,138559.29,139973.17,138088.0,139501.88,248236
2017-02-27,139973.17,140444.46,138088.01,139973.17,183801
2017-02-28,139973.17,141387.04,138088.01,140915.75,476960
2017-03-02,140444.46,141858.33,139973.17,139973.17,660227
2017-03-03,138559.29,139501.87,132903.81,133846.39,774281
2017-03-06,133375.11,136674.14,131961.24,136674.14,568168
2017-03-07,134788.97,137616.71,134788.97,135731.55,361237
2017-03-08,135731.55,136202.84,133375.1,136202.84,430524
2017-03-09,136202.85,137145.43,135260.27,136674.14,516356
2017-03-10,136674.14,138088.01,135260.27,137616.72,418788
2017-03-13,137145.43,138559.3,136674.14,137616.72,346033
2017-03-14,138559.29,140915.74,138088.0,140444.45,402984
2017-03-15,139973.17,140915.75,139030.59,140915.75,415972
2017-03-16,142800.91,143743.49,140444.46,142800.91,511511
2017-03-17,143743.49,143743.49,141387.04,142800.91,384871
2017-03-20,143743.49,147985.1,142800.91,147513.81,753898
2017-03-21,148927.68,161181.22,148456.39,160238.64,2100147
2017-03-22,157882.19,160709.93,155997.03,160238.64,1095061
2017-03-23,158824.77,159296.06,155525.73,155525.73,786599
2017-03-24,154583.16,157410.9,152698.0,154583.16,619369
2017-03-27,152698.0,153640.58,149870.26,152698.0,556569
2017-03-28,152697.99,153640.57,149398.96,150812.83,528384
2017-03-29,150341.55,151284.13,146571.23,147042.52,594310
2017-03-30,147513.81,150812.84,147513.81,149398.97,541928
2017-03-31,150341.55,151284.13,147042.52,148456.39,518427
2017-04-03,147513.81,147985.1,144214.78,147513.81,568863
2017-04-04,145157.35,146099.93,141387.03,143272.19,693275
2017-04-05,143743.48,143743.48,138559.29,141387.03,738030
2017-04-06,140915.75,141387.04,139030.58,139501.88,543682
2017-04-07,139501.87,140915.74,135731.55,136202.84,814773
2017-04-10,136674.14,139030.59,136202.85,137616.72,372373
2017-04-11,136674.14,136674.14,134317.69,134317.69,460813
2017-04-12,134788.98,136202.85,133375.11,133375.11,467523
2017-04-13,134788.98,136202.85,132903.82,134317.69,537212
2017-04-14,133375.11,134788.98,132903.82,134317.69,235481
2017-04-17,134317.68,135731.55,132903.81,135731.55,354807
2017-04-18,136202.84,136202.84,132903.81,132903.81,512212
2017-04-19,131961.22,132432.51,128662.19,129133.48,1028582
2017-04-20,129133.5,133846.4,129133.5,133375.11,837678
2017-04-21,133846.4,134788.98,132903.82,133375.11,520179
2017-04-24,132903.82,133375.11,131489.95,133375.11,474698
2017-04-25,134317.68,138088.0,133846.39,136202.84,670239
2017-04-26,136674.13,143272.19,136202.84,142329.61,1288277
2017-04-27,141387.04,142329.62,138088.01,138559.3,747891
2017-04-28,135731.55,137616.71,134317.68,135731.55,686242
2017-05-02,134788.97,143272.19,134788.97,142329.61,883476
2017-05-04,141858.32,144214.77,140915.74,143272.19,559335
2017-05-08,143272.19,148927.67,141858.32,148927.67,754482
2017-05-10,147985.1,151284.13,146571.23,147513.81,902973
2017-05-11,149870.26,149870.26,147513.81,148456.39,683676
2017-05-12,147042.52,147985.1,144686.07,146099.94,546718
2017-05-15,144214.78,147042.52,143272.2,145157.36,320821
2017-05-16,146099.94,148927.68,145628.65,148456.39,479777
2017-05-17,147042.52,149870.26,146099.94,149398.97,344159
2017-05-18,148927.67,156939.6,148456.38,155525.73,1274106
2017-05-19,157410.9,161181.22,150812.84,160238.64,1889722
2017-05-22,159296.06,161181.22,157410.9,160238.64,679426
2017-05-23,160238.64,163066.38,159296.06,160238.64,649405
2017-05-24,158824.77,160238.64,154111.87,154583.16,876331
2017-05-25,155054.44,157410.89,154111.86,155525.73,627476
2017-05-26,155997.02,156939.6,153640.57,154111.86,487868
2017-05-29,153640.58,155525.74,152226.71,152698.0,405130
2017-05-30,153169.29,155997.03,151755.42,154583.16,393584
2017-05-31,153169.29,156468.32,153169.29,153640.58,568084
2017-06-01,153169.29,156939.61,153169.29,155997.03,439229
2017-06-02,155054.45,155525.74,151284.13,153640.58,571120
2017-06-05,154111.86,155997.02,151755.41,152226.7,371037
2017-06-07,150812.83,150812.83,147985.09,149870.25,746365
2017-06-08,149870.25,151755.41,149398.96,150812.83,548233
2017-06-09,150812.83,151755.41,149398.96,150812.83,343795
2017-06-12,148927.67,154111.86,148927.67,153169.28,390351
2017-06-13,153640.57,157410.89,152697.99,155054.44,548527
2017-06-14,155525.74,160238.64,155054.45,159296.06,638693
2017-06-15,158353.48,159296.06,152698.0,153640.58,668866
2017-06-16,154111.86,155525.73,153169.28,155525.73,310581
2017-06-19,155054.44,158353.47,154111.86,157410.89,335858
2017-06-20,156468.32,159296.06,155525.74,156939.61,373530
2017-06-21,156468.32,156468.32,150812.83,151284.12,557266
2017-06-22,152697.99,152697.99,150812.83,152226.7,401279
2017-06-23,152698.0,156468.32,152698.0,154583.16,292130
2017-06-26,153640.58,155525.74,152698.0,154583.16,211301
2017-06-27,153640.58,154111.87,150812.83,151284.12,449056
2017-06-28,150812.83,153169.28,150341.54,150812.83,347569
2017-06-29,151287.1,154132.62,150812.84,152709.86,400255
2017-06-30,151287.09,153658.36,149864.33,151287.09,337644
2017-07-03,150338.58,155555.38,149864.33,155081.12,392228
2017-07-04,154132.61,154132.61,149390.07,150338.58,448579
2017-07-05,149864.33,150812.84,147018.8,147967.31,533353
2017-07-06,148441.57,148915.83,147018.81,147493.06,380091
2017-07-07,145596.05,146544.56,142750.52,143699.03,857341
2017-07-10,143224.76,143699.01,139904.98,140379.23,805494
2017-07-11,140853.49,142276.25,138956.47,140379.23,592204
2017-07-12,141327.75,143224.77,140379.24,141327.75,592811
2017-07-13,142276.26,143699.02,140379.24,141327.75,609170
2017-07-14,142276.26,146544.55,141802.01,146070.3,776297
2017-07-17,145596.02,146070.28,141801.99,142750.5,503286
2017-07-18,143224.76,143699.01,139430.73,140379.23,531137
2017-07-19,140853.5,141802.01,139430.74,140853.5,480211
2017-07-20,141327.74,141327.74,137533.71,140379.23,482332
2017-07-21,140379.24,140379.24,138956.48,139904.98,303019
2017-07-24,140379.24,140379.24,137059.46,137533.72,558419
2017-07-25,137533.73,139905.0,137059.47,138482.23,769128
2017-07-26,139430.73,142276.25,138956.47,140379.23,1000733
2017-07-27,140379.25,140853.5,137059.47,138956.48,552184
2017-07-28,138956.47,142276.25,138956.47,141802.0,857408
2017-07-31,141802.01,141802.01,137059.46,137533.72,871600
2017-08-01,137533.71,139430.73,137059.46,138007.97,415903
2017-08-02,138956.48,140379.24,138007.97,139904.98,462222
2017-08-03,139904.99,141802.01,138482.23,140853.5,643295
2017-08-04,140379.23,143224.76,139430.72,142276.25,520334
2017-08-07,142750.51,143224.76,140379.23,140379.23,280334
2017-08-08,139430.74,139905.0,136110.96,136585.22,655022
2017-08-09,137533.73,138482.23,136585.22,138482.23,391355
2017-08-10,137059.46,138956.48,136585.21,137533.72,576598
2017-08-11,136110.95,138007.97,133739.68,134688.19,607681
2017-08-14,135162.45,138482.23,134688.2,137059.47,319856
2017-08-16,137533.72,138482.23,135636.71,137059.47,417168
2017-08-17,135636.71,137059.47,134213.95,136585.22,250791
2017-08-18,136585.21,138007.98,136110.96,137059.47,253371
2017-08-21,137533.71,140853.49,136110.95,140379.23,430402
2017-08-22,140379.24,142276.26,137533.72,139430.73,533818
2017-08-23,138956.48,139904.99,138007.98,138956.48,245112
2017-08-24,138956.49,139430.75,136110.97,136110.97,505047
2017-08-25,136110.96,138007.98,135636.71,137059.47,362052
2017-08-28,136585.21,138482.23,136585.21,137059.47,319822
2017-08-29,135636.71,137059.47,135162.46,136585.22,332462
2017-08-30,135162.43,136585.2,131368.4,135636.69,762771
2017-08-31,134688.18,137533.71,132316.91,133265.42,834907
2017-09-01,133739.67,136110.94,132316.91,135636.69,541048
2017-09-04,132791.17,135162.44,132316.92,132791.17,326756
2017-09-05,133739.68,134688.19,129945.65,130894.16,546091
2017-09-06,130894.16,131368.41,126625.87,128997.14,694527
