,회사명,종목코드
1015,메타바이오메드,59210
1016,멕아이씨에스,58110
1017,모두투어,80160
1018,무림SP,1810
1019,미래에셋대우스팩3호,328380
1020,미래에셋벤처투자,100790
1021,미코,59090
1022,버킷스튜디오,66410
1023,부스타,8470
1024,비덴트,121800
1025,비즈니스온,138580
1026,비트컴퓨터,32850
1027,사람인에이치알,143240
1028,삼륭물산,14970
1029,삼양옵틱스,225190
1030,삼영이엔씨,65570
1031,삼일,32280
1032,삼일기업공사,2290
1033,삼지전자,37460
1034,삼진,32750
1035,삼화네트웍스,46390
1036,상보,27580
1037,상신이디피,91580
1038,서린바이오,38070
1039,서울바이오시스,92190
1040,서호전기,65710
1041,성우하이텍,15750
1042,세경하이테크,148150
1043,세명전기,17510
1044,셀바스AI,108860
1045,손오공,66910
1046,솔루에타,154040
1047,수성,84180
1048,슈펙스비앤피,58530
1049,슈프리마,236200
1050,신라에스지,25870
1051,신라젠,215600
1052,신영스팩5호,323280
1053,신한제4호스팩,277480
1054,신한제6호스팩,333050
1055,아가방컴퍼니,13990
1056,아모텍,52710
1057,아미코젠,92040
1058,아이에이,38880
1059,아이에이네트웍스,123010
1060,아이오케이,78860
1061,아이톡시,52770
1062,알에프세미,96610
1063,액트로,290740
1064,앱클론,174900
1065,에스에스알,275630
1066,에스제이그룹,306040
1067,에스제이케이,80440
1068,에스티팜,237690
1069,에이앤티앤,50320
1070,에이치엘비,28300
1071,에이프런티어,36180
1072,에이프로,262260
1073,에프알텍,73540
1074,에프에스티,36810
1075,엑스큐어,70300
1076,엔시트론,101400
1077,엔에이치스팩12호,273060
1078,엔에이치스팩14호,319400
1079,엔지켐생명과학,183490
1080,엔케이맥스,182400
1081,연우,115960
1082,영신금속,7530
1083,예림당,36000
1084,오르비텍,46120
1085,오성첨단소재,52420
1086,오션브릿지,241790
1087,우리손에프앤지,73560
1088,우수AMS,66590
1089,원일특강,12620
1090,위더스제약,330350
1091,윈하이텍,192390
1092,윌링스,313760
1093,유니테스트,86390
1094,유안타제6호스팩,340360
1095,육일씨엔에쓰,191410
1096,이글루시큐리티,67920
1097,이글벳,44960
1098,이녹스,88390
1099,이랜시스,264850
1100,이베스트스팩5호,349720
1101,이에스에이,52190
1102,이엠앤아이,83470
1103,이엠텍,91120
1104,이즈미디어,181340
1105,이지케어텍,99750
1106,인선이엔티,60150
1107,인포마크,175140
1108,인포바인,115310
1109,인포뱅크,39290
1110,잉크테크,49550
1111,전진바이오팜,110020
1112,정다운,208140
1113,제이스텍,90470
1114,제일바이오,52670
1115,젬백스지오,41590
1116,줌인터넷,239340
1117,지니뮤직,43610
1118,지니언스,263860
1119,지란지교시큐리티,208350
1120,지스마트글로벌,114570
1121,참좋은여행,94850
1122,천보,278280
1123,케이비제19호스팩,330990
1124,케이씨피드,25880
1125,케이엔더블유,105330
1126,코너스톤네트웍스,33110
1127,코데즈컴바인,47770
1128,코메론,49430
1129,코미팜,41960
1130,코아시아,45970
1131,코오롱생명과학,102940
1132,코웰패션,33290
1133,코위버,56360
1134,콜마비앤에이치,200130
1135,큐브엔터,182360
1136,크로바하이텍,43590
1137,클리오,237880
1138,키움제5호스팩,311270
1139,테고사이언스,191420
1140,테스나,131970
1141,티에스아이,277880
1142,파루,43200
1143,파멥신,208340
1144,파수,150900
1145,파워로직스,47310
1146,파인디지털,38950
1147,팬엔터테인먼트,68050
1148,펌텍코리아,251970
1149,풍강,93380
1150,플레이디,237820
1151,피에스텍,2230
1152,하나마이크론,67310
1153,한국경제TV,39340
1154,한국바이오젠,318000
1155,한국비엔씨,256840
1156,한국아트라스비엑스,23890
1157,한국알콜,17890
1158,한국정보인증,53300
1159,한국정보통신,25770
1160,한국제6호스팩,281410
1161,한국팩키지,37230
1162,한글과컴퓨터,30520
1163,한일단조,24740
1164,한컴위드,54920
1165,한탑,2680
1166,현진소재,53660
1167,휴네시온,290270
1168,휴맥스홀딩스,28080
1169,흥국에프엔비,189980
1170,DB금융스팩7호,322780
1171,IBKS제10호스팩,299170
1172,JTC,950170
1173,KCC건설,21320
1174,KCI,36670
1175,KG ETS,151860
1176,KMH,122450
1177,NEW,160550
1178,SBI핀테크솔루션즈,950110
1179,SGA솔루션즈,184230
1180,SM Life Design,63440
1181,W홀딩컴퍼니,52300
1182,교보9호스팩,331520
1183,나노신소재,121600
1184,나인테크,267320
1185,넥슨지티,41140
1186,노터스,278650
1187,녹원씨엔아이,65560
1188,누리플랜,69140
1189,뉴프라이드,900100
1190,다산네트웍스,39560
1191,다원시스,68240
1192,대원산업,5710
1193,대유,290380
1194,덕신하우징,90410
1195,데일리블록체인,139050
1196,덴티스,261200
1197,동일기연,32960
1198,듀오백,73190
1199,드림씨아이에스,223250
1200,디지아이,43360
1201,디지털대성,68930
1202,디티앤씨,187220
1203,램테크놀러지,171010
