,회사명,종목코드
1072,한화플러스제2호스팩,386580
1073,현대바이오,48410
1074,현대바이오랜드,52260
1075,화성밸브,39610
1076,휴림로봇,90710
1077,휴센텍,215090
1078,희림,37440
1079,APS,54620
1080,CBI,13720
1081,CJ ENM,35760
1082,CMG제약,58820
1083,CNH,23460
1084,CS,65770
1085,HRS,36640
1086,KG모빌리언스,46440
1087,MIT,38340
1088,NHN KCP,60250
1089,RF머트리얼즈,327260
1090,SFA반도체,36540
1091,SGA,49470
1092,SK증권제10호스팩,457940
1093,TKG애강,22220
1094,iMBC,52220
1095,갤럭시아머니트리,94480
1096,고바이오랩,348150
1097,고영,98460
1098,국영지앤엠,6050
1099,금양그린파워,282720
1100,까스텔바작,308100
1101,나노엔텍,39860
1102,나이벡,138610
1103,네오위즈홀딩스,42420
1104,네오이뮨텍,950220
1105,네오팜,92730
1106,넥스틴,348210
1107,노바렉스,194700
1108,누리플렉스,40160
1109,뉴로메카,348340
1110,뉴지랩파마,214870
1111,뉴트리,270870
1112,대성파인텍,104040
1113,대양제지,6580
1114,대창솔루션,96350
1115,동아엘텍,88130
1116,동우팜투테이블,88910
1117,동원개발,13120
1118,동일금속,109860
1119,디스플레이텍,66670
1120,디와이피엔에프,104460
1121,디케이티,290550
1122,딜리,131180
1123,딥노이드,315640
1124,라온시큐어,42510
1125,레드캡투어,38390
1126,레뷰코퍼레이션,443250
1127,루닛,328130
1128,리더스코스메틱,16100
1129,마이크로투나노,424980
1130,매일홀딩스,5990
1131,맥스트,377030
1132,머큐리,100590
1133,멀티캠퍼스,67280
1134,메이슨캐피탈,21880
1135,메타바이오메드,59210
1136,멕아이씨에스,58110
1137,모두투어,80160
1138,무림SP,1810
1139,미래반도체,254490
1140,미래에셋드림스팩1호,442900
1141,미래에셋벤처투자,100790
1142,베스파,299910
1143,벨로크,424760
1144,보라티알,250000
1145,보로노이,310210
1146,부스타,8470
1147,비엘,142760
1148,비트컴퓨터,32850
1149,사람인,143240
1150,삼륭물산,14970
1151,삼보산업,9620
1152,삼성스팩8호,448740
1153,삼일기업공사,2290
1154,삼화네트웍스,46390
1155,상보,27580
1156,상신이디피,91580
1157,상아프론테크,89980
1158,상지카일룸,42940
1159,샌즈랩,411080
1160,서울리거,43710
1161,선바이오,67370
1162,성도이엔지,37350
1163,성우하이텍,15750
1164,세경하이테크,148150
1165,세토피아,222810
1166,솔고바이오,43100
1167,솔브레인,357780
1168,슈프리마,236200
1169,시티랩스,139050
1170,신라섬유,1000
1171,신스틸,162300
1172,쎄트렉아이,99320
1173,씨아이에스,222080
1174,씨앤씨인터내셔널,352480
1175,아가방컴퍼니,13990
1176,아모그린텍,125210
1177,아모센스,357580
1178,아스플로,159010
1179,아우딘퓨쳐스,227610
1180,아이엠,101390
1181,아이퀘스트,262840
1182,아이톡시,52770
1183,안국약품,1540
